+-------------------------------------------------------------------------+--------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------+
| ID                                                                      | Name                                                               | Description                                                                                                                                                                                                                                                                                                                                                                                                      | Parent                                                            |
+-------------------------------------------------------------------------+--------------------------------------------------------------------+------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------+
| aoa3:abyss/activated_my_trap_card                                       | [Activated My Trap Card!]                                          | Kill Elusive while invisible and not wearing armour                                                                                                                                                                                                                                                                                                                                                              | aoa3:abyss/unwavering_eyes                                        |
| aoa3:abyss/eluding_the_elusive                                          | [Eluding The Elusive]                                              | Craft a Gold Elusive Statue                                                                                                                                                                                                                                                                                                                                                                                      | aoa3:abyss/unwavering_eyes                                        |
| aoa3:abyss/reaper_reaper                                                | [Reaper Reaper]                                                    | Kill a Nightmare Web Reaper                                                                                                                                                                                                                                                                                                                                                                                      | aoa3:abyss/root                                                   |
| aoa3:abyss/root                                                         | [The Abyss]                                                        | Visit the Abyss                                                                                                                                                                                                                                                                                                                                                                                                  | -                                                                 |
| aoa3:abyss/spotlight_in_the_dark                                        | [Spotlight in The Dark]                                            | Craft a Gold Shadowlord Statue                                                                                                                                                                                                                                                                                                                                                                                   | aoa3:abyss/the_shadow_what                                        |
| aoa3:abyss/the_dark_book                                                | [The Dark Book]                                                    | Obtain a Book of Shadows from an Empowered Web Reaper                                                                                                                                                                                                                                                                                                                                                            | aoa3:abyss/root                                                   |
| aoa3:abyss/the_real_lord                                                | [The Real Lord]                                                    | Craft an Ornate Shadowlord Statue                                                                                                                                                                                                                                                                                                                                                                                | aoa3:abyss/spotlight_in_the_dark                                  |
| aoa3:abyss/the_shadow_what                                              | [The Shadow What?]                                                 | Defeat Shadowlord, master of darkness                                                                                                                                                                                                                                                                                                                                                                            | aoa3:abyss/the_dark_book                                          |
| aoa3:abyss/the_staring_eye                                              | [The Staring Eye]                                                  | Obtain a Staring Eye                                                                                                                                                                                                                                                                                                                                                                                             | aoa3:abyss/root                                                   |
