+------------+------------------+---------------------------+-----------------+------------------+---------------------------------------------------------------------------------+
|         ID | DimensionType ID | Name                      | shouldLoadSpawn | Currently loaded | WorldProvider class                                                             |
+------------+------------------+---------------------------+-----------------+------------------+---------------------------------------------------------------------------------+
|          0 |                0 | overworld                 |            true |             true | net.minecraft.world.WorldProviderSurface                                        |
|          1 |                1 | the_end                   |           false |            false | net.minecraft.world.WorldProviderEnd                                            |
|         49 |               49 | Aether                    |           false |            false | com.gildedgames.aether.common.world.WorldProviderAether                         |
|        800 |              800 | abyss                     |           false |            false | net.tslat.aoa3.dimension.abyss.WorldProviderAbyss                               |
|        801 |              801 | ancient_cavern            |           false |            false | net.tslat.aoa3.dimension.ancientcavern.WorldProviderAncientCavern               |
|        802 |              802 | barathos                  |           false |            false | net.tslat.aoa3.dimension.barathos.WorldProviderBarathos                         |
|        803 |              803 | candyland                 |           false |            false | net.tslat.aoa3.dimension.candyland.WorldProviderCandyland                       |
|        804 |              804 | celeve                    |           false |            false | net.tslat.aoa3.dimension.celeve.WorldProviderCeleve                             |
|        805 |              805 | creeponia                 |           false |            false | net.tslat.aoa3.dimension.creeponia.WorldProviderCreeponia                       |
|        806 |              806 | crystevia                 |           false |            false | net.tslat.aoa3.dimension.crystevia.WorldProviderCrystevia                       |
|        807 |              807 | deeplands                 |           false |            false | net.tslat.aoa3.dimension.deeplands.WorldProviderDeeplands                       |
|        808 |              808 | dustopia                  |           false |            false | net.tslat.aoa3.dimension.dustopia.WorldProviderDustopia                         |
|        809 |              809 | gardencia                 |           false |            false | net.tslat.aoa3.dimension.gardencia.WorldProviderGardencia                       |
|        810 |              810 | greckon                   |           false |            false | net.tslat.aoa3.dimension.greckon.WorldProviderGreckon                           |
|        811 |              811 | haven                     |           false |            false | net.tslat.aoa3.dimension.haven.WorldProviderHaven                               |
|        812 |              812 | immortallis               |           false |            false | net.tslat.aoa3.dimension.immortallis.WorldProviderImmortallis                   |
|        813 |              813 | iromine                   |           false |            false | net.tslat.aoa3.dimension.iromine.WorldProviderIromine                           |
|        814 |              814 | lborean                   |           false |            false | net.tslat.aoa3.dimension.lborean.WorldProviderLBorean                           |
|        815 |              815 | lelyetia                  |           false |            false | net.tslat.aoa3.dimension.lelyetia.WorldProviderLelyetia                         |
|        816 |              816 | lunalus                   |           false |            false | net.tslat.aoa3.dimension.lunalus.WorldProviderLunalus                           |
|        817 |              817 | mysterium                 |           false |            false | net.tslat.aoa3.dimension.mysterium.WorldProviderMysterium                       |
|        818 |              818 | precasia                  |           false |            false | net.tslat.aoa3.dimension.precasia.WorldProviderPrecasia                         |
|        819 |              819 | runandor                  |           false |            false | net.tslat.aoa3.dimension.runandor.WorldProviderRunandor                         |
|        820 |              820 | shyrelands                |           false |            false | net.tslat.aoa3.dimension.shyrelands.WorldProviderShyrelands                     |
|        821 |              821 | vox_ponds                 |           false |            false | net.tslat.aoa3.dimension.voxponds.WorldProviderVoxPonds                         |
|          2 |                2 | bedrockcraftvoid          |           false |            false | bedrockcraft.voidworld.WorldProviderVoid                                        |
|        144 |              144 | CompactMachines           |           false |            false | org.dave.compactmachines3.world.WorldProviderMachines                           |
|        684 |              684 | limbo                     |           false |            false | org.dimdev.dimdoors.shared.world.limbo.WorldProviderLimbo                       |
|        685 |              685 | private_pockets           |           false |            false | org.dimdev.dimdoors.shared.world.pocketdimension.WorldProviderPersonalPocket    |
|        686 |              686 | public_pockets            |           false |            false | org.dimdev.dimdoors.shared.world.pocketdimension.WorldProviderPublicPocket      |
|        687 |              687 | dungeon_pockets           |           false |            false | org.dimdev.dimdoors.shared.world.pocketdimension.WorldProviderDungeonPocket     |
|        688 |              687 | dungeon_pockets           |           false |            false | org.dimdev.dimdoors.shared.world.pocketdimension.WorldProviderDungeonPocket     |
|         66 |               66 | EREBUS                    |           false |            false | erebus.world.WorldProviderErebus                                                |
|      28885 |            28885 | hunting_dim               |           false |            false | net.darkhax.huntingdim.dimension.WorldProviderHunting                           |
|       9993 |             9993 | dimensionDiamond          |           false |            false | mod.mcreator.mcreator_dimensionDiamond$WorldProviderMod                         |
|       9994 |             9994 | dimensionEmerald          |           false |            false | mod.mcreator.mcreator_dimensionEmerald$WorldProviderMod                         |
|       9995 |             9995 | dimensionGlowstone        |           false |            false | mod.mcreator.mcreator_dimensionGlowstone$WorldProviderMod                       |
|       9996 |             9996 | dimensionGold             |           false |            false | mod.mcreator.mcreator_dimensionGold$WorldProviderMod                            |
|       9997 |             9997 | dimensionIron             |           false |            false | mod.mcreator.mcreator_dimensionIron$WorldProviderMod                            |
|       9998 |             9998 | dimensionLapis            |           false |            false | mod.mcreator.mcreator_dimensionLapis$WorldProviderMod                           |
|       9999 |             9999 | dimensionObsidian         |           false |            false | mod.mcreator.mcreator_dimensionObsidian$WorldProviderMod                        |
|      99911 |            99911 | dimensionRedstone         |           false |            false | mod.mcreator.mcreator_dimensionRedstone$WorldProviderMod                        |
|       9909 |             9909 | dimensionSponge           |           false |            false | mod.mcreator.mcreator_dimensionSponge$WorldProviderMod                          |
|       9903 |             9903 | dimensionWool             |           false |            false | mod.mcreator.mcreator_dimensionWool$WorldProviderMod                            |
|      99914 |            99914 | dimensionIce              |           false |            false | mod.mcreator.mcreator_dimensionIce$WorldProviderMod                             |
|       9917 |             9917 | dimensionCloud            |           false |            false | mod.mcreator.mcreator_dimensionCloud$WorldProviderMod                           |
|       9904 |             9904 | dimensionWood             |           false |            false | mod.mcreator.mcreator_dimensionWood$WorldProviderMod                            |
|       9911 |             9911 | dimensionSnow             |           false |            false | mod.mcreator.mcreator_dimensionSnow$WorldProviderMod                            |
|       9918 |             9918 | dimensionMelon            |           false |            false | mod.mcreator.mcreator_dimensionMelon$WorldProviderMod                           |
|       9907 |             9907 | dimensionStone            |           false |            false | mod.mcreator.mcreator_dimensionStone$WorldProviderMod                           |
|       9920 |             9920 | dimensionInterDimensional |           false |            false | mod.mcreator.mcreator_dimensionInterDimensional$WorldProviderMod                |
|       9921 |             9921 | dimensionCoal             |           false |            false | mod.mcreator.mcreator_dimensionCoal$WorldProviderMod                            |
|       9922 |             9922 | dimensionConcrete         |           false |            false | mod.mcreator.mcreator_dimensionConcrete$WorldProviderMod                        |
|       9923 |             9923 | dimensionClay             |           false |            false | mod.mcreator.mcreator_dimensionClay$WorldProviderMod                            |
|       9924 |             9924 | dimensionGreenery         |           false |            false | mod.mcreator.mcreator_dimensionGreenery$WorldProviderMod                        |
|       9912 |             9912 | dimensionAlternateReality |           false |            false | mod.mcreator.mcreator_dimensionAlternateReality$WorldProviderMod                |
|      99917 |            99917 | dimensionBrick            |           false |            false | mod.mcreator.mcreator_dimensionBrick$WorldProviderMod                           |
|       9906 |             9906 | dimensionStoneBrick       |           false |            false | mod.mcreator.mcreator_dimensionStoneBrick$WorldProviderMod                      |
|       9928 |             9928 | dimensionEndStone         |           false |            false | mod.mcreator.mcreator_dimensionEndStone$WorldProviderMod                        |
|       9929 |             9929 | dimensionPrismarine       |           false |            false | mod.mcreator.mcreator_dimensionPrismarine$WorldProviderMod                      |
|       9930 |             9930 | dimensionNetherWart       |           false |            false | mod.mcreator.mcreator_dimensionNetherWart$WorldProviderMod                      |
|       9931 |             9931 | dimensionHayBale          |           false |            false | mod.mcreator.mcreator_dimensionHayBale$WorldProviderMod                         |
|       9932 |             9932 | dimensionSeaLantern       |           false |            false | mod.mcreator.mcreator_dimensionSeaLantern$WorldProviderMod                      |
|       9933 |             9933 | dimensionflint            |           false |            false | mod.mcreator.mcreator_dimensionflint$WorldProviderMod                           |
|       9934 |             9934 | dimensionNetherBrick      |           false |            false | mod.mcreator.mcreator_dimensionNetherBrick$WorldProviderMod                     |
|       9902 |             9902 | sandstoneDimension        |           false |            false | mod.mcreator.mcreator_sandstoneDimension$WorldProviderMod                       |
|       9901 |             9901 | redSandstoneDimension     |           false |            false | mod.mcreator.mcreator_redSandstoneDimension$WorldProviderMod                    |
|       9937 |             9937 | dimensionPurpur           |           false |            false | mod.mcreator.mcreator_dimensionPurpur$WorldProviderMod                          |
|       9938 |             9938 | dimensionRedNetherBrick   |           false |            false | mod.mcreator.mcreator_dimensionRedNetherBrick$WorldProviderMod                  |
|       9915 |             9915 | dimensionBone             |           false |            false | mod.mcreator.mcreator_dimensionBone$WorldProviderMod                            |
|       9940 |             9940 | dimensionSlime            |           false |            false | mod.mcreator.mcreator_dimensionSlime$WorldProviderMod                           |
|       9941 |             9941 | dimensionRedstoneLamp     |           false |            false | mod.mcreator.mcreator_dimensionRedstoneLamp$WorldProviderMod                    |
|       9942 |             9942 | dimensionClayNormal       |           false |            false | mod.mcreator.mcreator_dimensionClayNormal$WorldProviderMod                      |
|       9916 |             9916 | dimensionBookshelf        |           false |            false | mod.mcreator.mcreator_dimensionBookshelf$WorldProviderMod                       |
|       9944 |             9944 | dimensionGlass            |           false |            false | mod.mcreator.mcreator_dimensionGlass$WorldProviderMod                           |
|       9910 |             9910 | dimensionSoulSand         |           false |            false | mod.mcreator.mcreator_dimensionSoulSand$WorldProviderMod                        |
|       9946 |             9946 | dimensionJackoLantern     |           false |            false | mod.mcreator.mcreator_dimensionJackoLantern$WorldProviderMod                    |
|       9947 |             9947 | dimensionPumpkin          |           false |            false | mod.mcreator.mcreator_dimensionPumpkin$WorldProviderMod                         |
|       9948 |             9948 | dimensionEndStoneBricks   |           false |            false | mod.mcreator.mcreator_dimensionEndStoneBricks$WorldProviderMod                  |
|       9949 |             9949 | dimensionCobblestone      |           false |            false | mod.mcreator.mcreator_dimensionCobblestone$WorldProviderMod                     |
|       9953 |             9953 | dimensionPhantom          |           false |            false | mod.mcreator.mcreator_dimensionPhantom$WorldProviderMod                         |
|       9954 |             9954 | dimensionCraftingTable    |           false |            false | mod.mcreator.mcreator_dimensionCraftingTable$WorldProviderMod                   |
|       9905 |             9905 | dimensionTNT              |           false |            false | mod.mcreator.mcreator_dimensionTNT$WorldProviderMod                             |
|       9956 |             9956 | dimensionFurnace          |           false |            false | mod.mcreator.mcreator_dimensionFurnace$WorldProviderMod                         |
|       9957 |             9957 | dimensionQuartz           |           false |            false | mod.mcreator.mcreator_dimensionQuartz$WorldProviderMod                          |
|       9914 |             9914 | dimensionBedrock          |           false |            false | mod.mcreator.mcreator_dimensionBedrock$WorldProviderMod                         |
|       9959 |             9959 | dimensionMagma            |           false |            false | mod.mcreator.mcreator_dimensionMagma$WorldProviderMod                           |
|       9961 |             9961 | dimensionNoteblock        |           false |            false | mod.mcreator.mcreator_dimensionNoteblock$WorldProviderMod                       |
|       9962 |             9962 | dimensionCouldron         |           false |            false | mod.mcreator.mcreator_dimensionCouldron$WorldProviderMod                        |
|       9963 |             9963 | dimensionEnchantmentTable |           false |            false | mod.mcreator.mcreator_dimensionEnchantmentTable$WorldProviderMod                |
|       9964 |             9964 | dimensionEndPortal        |           false |            false | mod.mcreator.mcreator_dimensionEndPortal$WorldProviderMod                       |
|       9965 |             9965 | dimensionShulkerBox       |           false |            false | mod.mcreator.mcreator_dimensionShulkerBox$WorldProviderMod                      |
|       9966 |             9966 | dimensionGlazedTerracotta |           false |            false | mod.mcreator.mcreator_dimensionGlazedTerracotta$WorldProviderMod                |
|       9967 |             9967 | dimensionDispenser        |           false |            false | mod.mcreator.mcreator_dimensionDispenser$WorldProviderMod                       |
|       9968 |             9968 | dimensionJukebox          |           false |            false | mod.mcreator.mcreator_dimensionJukebox$WorldProviderMod                         |
|       9908 |             9908 | dimensionStickyPiston     |           false |            false | mod.mcreator.mcreator_dimensionStickyPiston$WorldProviderMod                    |
|       9970 |             9970 | dimensionPiston           |           false |            false | mod.mcreator.mcreator_dimensionPiston$WorldProviderMod                          |
|     999199 |           999199 | dimensionBrewingStand     |           false |            false | mod.mcreator.mcreator_dimensionBrewingStand$WorldProviderMod                    |
|       9972 |             9972 | dimensionHopper           |           false |            false | mod.mcreator.mcreator_dimensionHopper$WorldProviderMod                          |
|       9973 |             9973 | dimensionDropper          |           false |            false | mod.mcreator.mcreator_dimensionDropper$WorldProviderMod                         |
|       9974 |             9974 | dimensionObserver         |           false |            false | mod.mcreator.mcreator_dimensionObserver$WorldProviderMod                        |
|       9913 |             9913 | dimensionBeacon           |           false |            false | mod.mcreator.mcreator_dimensionBeacon$WorldProviderMod                          |
|       9976 |             9976 | dimensionEnderChest       |           false |            false | mod.mcreator.mcreator_dimensionEnderChest$WorldProviderMod                      |
|       9977 |             9977 | dimensionFence            |           false |            false | mod.mcreator.mcreator_dimensionFence$WorldProviderMod                           |
|       9978 |             9978 | dimensionIronBars         |           false |            false | mod.mcreator.mcreator_dimensionIronBars$WorldProviderMod                        |
|       9979 |             9979 | dimensionGlassPane        |           false |            false | mod.mcreator.mcreator_dimensionGlassPane$WorldProviderMod                       |
|       9980 |             9980 | dimensionCobblestoneWall  |           false |            false | mod.mcreator.mcreator_dimensionCobblestoneWall$WorldProviderMod                 |
|         20 |               20 | betweenlands              |           false |            false | thebetweenlands.common.world.WorldProviderBetweenlands                          |
|        428 |              428 | theaurorian               |           false |            false | com.elseytd.theaurorian.World.TAWorldProvider                                   |
|        -42 |              -42 | Lost                      |           false |            false | com.salvestrom.w2theJungle.worldGen.LostWorldProvider                           |
|        -23 |              -23 | midnight                  |           false |            false | com.mushroom.midnight.common.world.MidnightWorldProvider                        |
|         -6 |               -6 | MINING_WORLD              |           false |            false | aroma1997.world.dimension.WorldProviderMining                                   |
|         76 |               76 | everbright                |           false |            false | com.legacy.blue_skies.world.everbright.EverbrightWorldProvider                  |
|         77 |               77 | everdawn                  |           false |            false | com.legacy.blue_skies.world.everdawn.EverdawnWorldProvider                      |
|        -50 |              -50 | cavern                    |           false |            false | cavern.world.WorldProviderCavern                                                |
|        -51 |              -51 | huge_cavern               |           false |            false | cavern.world.WorldProviderHugeCavern                                            |
|        -52 |              -52 | aqua_cavern               |           false |            false | cavern.world.WorldProviderAquaCavern                                            |
|        -53 |              -53 | caveland                  |           false |            false | cavern.world.mirage.WorldProviderCaveland                                       |
|        -54 |              -54 | cavenia                   |           false |            false | cavern.world.mirage.WorldProviderCavenia                                        |
|        -55 |              -55 | frost_mountains           |           false |            false | cavern.world.mirage.WorldProviderFrostMountains                                 |
|        -56 |              -56 | wide_desert               |           false |            false | cavern.world.mirage.WorldProviderWideDesert                                     |
|        -57 |              -57 | the_void                  |           false |            false | cavern.world.mirage.WorldProviderVoid                                           |
|        -58 |              -58 | dark_forest               |           false |            false | cavern.world.mirage.WorldProviderDarkForest                                     |
|        -59 |              -59 | crown_cliffs              |           false |            false | cavern.world.mirage.WorldProviderCrownCliffs                                    |
|        -60 |              -60 | skyland                   |           false |            false | cavern.world.mirage.WorldProviderSkyland                                        |
|     -11325 |           -11325 | Deep Dark                 |           false |            false | com.rwtema.extrautils2.dimensions.deep_dark.WorldProviderDeepDark               |
|      -9999 |            -9999 | ExtraUtils2_Quarry_Dim    |            true |             true | com.rwtema.extrautils2.dimensions.workhousedim.WorldProviderSpecialDim          |
|         84 |               84 | Glacidus                  |           false |            false | com.legacy.glacidus.world.WorldProviderGlacidus                                 |
|         44 |               44 | GoodDream                 |           false |            false | com.legacy.goodnightsleep.world.dream.GoodDreamWorldProvider                    |
|         45 |               44 | Nightmare                 |           false |            false | com.legacy.goodnightsleep.world.nightmare.NightmareWorldProvider                |
| -343800852 |       -343800852 | Spectre                   |            true |             true | lumien.randomthings.handler.spectre.SpectreWorldProvider                        |
|       1024 |        -28982081 | labyrinth                 |           false |            false | com.abecderic.labyrinth.worldgen.LabyrinthWorldProvider                         |
|         -9 |               -9 | Underworld                |           false |            false | sblectric.lightningcraft.dimensions.LCWorldProviderUnderworld                   |
|         69 |               69 | misty_world               |           false |            false | ru.liahim.mist.world.WorldProviderMist                                          |
|          4 |              -11 | Storage Cell              |            true |             true | appeng.spatial.StorageWorldProvider                                             |
|          7 |                7 | twilight_forest           |           false |            false | twilightforest.world.WorldProviderTwilightForest                                |
|         17 |               17 | atum                      |           false |            false | com.teammetallurgy.atum.world.WorldProviderAtum                                 |
|         -2 |               -2 | Gaia                      |           false |            false | androsa.gaiadimension.world.WorldProviderGaia                                   |
|         -1 |               -1 | Nether                    |           false |            false | logictechcorp.netherex.world.WorldProviderNetherEx                              |
|      -7878 |            -7878 | planet.altum              |            true |             true | zollerngalaxy.core.dimensions.worldproviders.WorldProviderAltum                 |
|        -30 |              -30 | planet.asteroids          |            true |             true | micdoodle8.mods.galacticraft.planets.asteroids.dimension.WorldProviderAsteroids |
|      -7998 |            -7998 | planet.atheon             |            true |             true | zollerngalaxy.core.dimensions.worldproviders.WorldProviderAtheon                |
|      -7877 |            -7877 | planet.caligro            |            true |             true | zollerngalaxy.core.dimensions.worldproviders.WorldProviderCaligro               |
|      -7777 |            -7777 | planet.candora            |            true |             true | zollerngalaxy.core.dimensions.worldproviders.WorldProviderCandora               |
|        -20 |              -20 | planet.Ceres              |            true |             true | com.mjr.extraplanets.planets.Ceres.WorldProviderCeres                           |
|      -2543 |            -2543 | planet.chalos             |            true |             true | stevekung.mods.moreplanets.planets.chalos.dimension.WorldProviderChalos         |
|      -2542 |            -2542 | planet.diona              |            true |             true | stevekung.mods.moreplanets.planets.diona.dimension.WorldProviderDiona           |
|      -7996 |            -7996 | planet.eden               |            true |             true | zollerngalaxy.core.dimensions.worldproviders.WorldProviderEden                  |
|        -21 |              -21 | planet.Eris               |            true |             true | com.mjr.extraplanets.planets.Eris.WorldProviderEris                             |
|      -7980 |            -7980 | planet.exodus             |            true |             true | zollerngalaxy.core.dimensions.worldproviders.WorldProviderExodus                |
|      -2545 |            -2545 | planet.fronos             |            true |             true | stevekung.mods.moreplanets.planets.fronos.dimension.WorldProviderFronos         |
|        -15 |              -15 | planet.Jupiter            |            true |             true | com.mjr.extraplanets.planets.Jupiter.WorldProviderJupiter                       |
|        -22 |              -22 | planet.kepler22b          |            true |             true | com.mjr.extraplanets.planets.Kepler22b.WorldProviderKepler22b                   |
|      -7994 |            -7994 | planet.kriffus            |            true |             true | zollerngalaxy.core.dimensions.worldproviders.WorldProviderKriffon               |
|        -29 |              -29 | planet.mars               |            true |             true | micdoodle8.mods.galacticraft.planets.mars.dimension.WorldProviderMars           |
|        -13 |              -13 | planet.Mercury            |            true |             true | com.mjr.extraplanets.planets.Mercury.WorldProviderMercury                       |
|      -7991 |            -7991 | planet.metztli            |            true |             true | zollerngalaxy.core.dimensions.worldproviders.WorldProviderMetztli               |
|        -18 |              -18 | planet.Neptune            |            true |             true | com.mjr.extraplanets.planets.Neptune.WorldProviderNeptune                       |
|      -2544 |            -2544 | planet.nibiru             |            true |             true | stevekung.mods.moreplanets.planets.nibiru.dimension.WorldProviderNibiru         |
|      -7990 |            -7990 | planet.oasis              |            true |             true | zollerngalaxy.core.dimensions.worldproviders.WorldProviderOasis                 |
|      -7979 |            -7979 | planet.perdita            |            true |             true | zollerngalaxy.core.dimensions.worldproviders.WorldProviderPerdita               |
|        -19 |              -19 | planet.Pluto              |            true |             true | com.mjr.extraplanets.planets.Pluto.WorldProviderPluto                           |
|      -7988 |            -7988 | planet.purgot             |            true |             true | zollerngalaxy.core.dimensions.worldproviders.WorldProviderPurgot                |
|        -16 |              -16 | planet.Saturn             |            true |             true | com.mjr.extraplanets.planets.Saturn.WorldProviderSaturn                         |
|      -4502 |            -4502 | planet.trappist1c         |            true |             true | net.rom.exoplanets.astronomy.trappist1.c.WorldProviderTrappist1C                |
|      -4504 |            -4504 | planet.trappist1e         |            true |             true | net.rom.exoplanets.astronomy.trappist1.e.WorldProviderTrappist1E                |
|        -17 |              -17 | planet.Uranus             |            true |             true | com.mjr.extraplanets.planets.Uranus.WorldProviderUranus                         |
|        -31 |              -31 | planet.venus              |            true |             true | micdoodle8.mods.galacticraft.planets.venus.dimension.WorldProviderVenus         |
|      -7675 |            -7675 | planet.vortex             |            true |             true | zollerngalaxy.core.dimensions.worldproviders.WorldProviderVortex                |
|      -7984 |            -7984 | planet.xantheon           |            true |             true | zollerngalaxy.core.dimensions.worldproviders.WorldProviderXantheon              |
|      -7983 |            -7983 | planet.xathius            |            true |             true | zollerngalaxy.core.dimensions.worldproviders.WorldProviderXathius               |
|      -4101 |            -4101 | planet.yzcetib            |            true |             true | net.rom.exoplanets.astronomy.yzceti.b.WorldProviderYzCetiB                      |
|      -4102 |            -4102 | planet.yzcetic            |            true |             true | net.rom.exoplanets.astronomy.yzceti.c.WorldProviderYzCetiC                      |
|      -4103 |            -4103 | planet.yzcetid            |            true |             true | net.rom.exoplanets.astronomy.yzceti.d.WorldProviderYzCetiD                      |
|      -7982 |            -7982 | planet.zollus             |            true |             true | zollerngalaxy.core.dimensions.worldproviders.WorldProviderZollus                |
|      -1505 |            -1505 | moon.callisto             |            true |             true | com.mjr.extraplanets.moons.Callisto.WorldProviderCallisto                       |
|      -1503 |            -1503 | moon.deimos               |            true |             true | com.mjr.extraplanets.moons.Deimos.WorldProviderDeimos                           |
|      -1501 |            -1501 | moon.europa               |            true |             true | com.mjr.extraplanets.moons.Europa.WorldProviderEuropa                           |
|      -1506 |            -1506 | moon.ganymede             |            true |             true | com.mjr.extraplanets.moons.Ganymede.WorldProviderGanymede                       |
|      -1511 |            -1511 | moon.iapetus              |            true |             true | com.mjr.extraplanets.moons.Iapetus.WorldProviderIapetus                         |
|      -1500 |            -1500 | moon.io                   |            true |             true | com.mjr.extraplanets.moons.Io.WorldProviderIo                                   |
|      -2642 |            -2642 | moon.koentus              |            true |             true | stevekung.mods.moreplanets.moons.koentus.dimension.WorldProviderKoentus         |
|        -28 |              -28 | moon.moon                 |            true |             true | micdoodle8.mods.galacticraft.core.dimension.WorldProviderMoon                   |
|      -1509 |            -1509 | moon.oberon               |            true |             true | com.mjr.extraplanets.moons.Oberon.WorldProviderOberon                           |
|      -1502 |            -1502 | moon.phobos               |            true |             true | com.mjr.extraplanets.moons.Phobos.WorldProviderPhobos                           |
|      -1507 |            -1507 | moon.rhea                 |            true |             true | com.mjr.extraplanets.moons.Rhea.WorldProviderRhea                               |
|      -1508 |            -1508 | moon.titan                |            true |             true | com.mjr.extraplanets.moons.Titan.WorldProviderTitan                             |
|      -1510 |            -1510 | moon.titania              |            true |             true | com.mjr.extraplanets.moons.Titania.WorldProviderTitania                         |
|      -1504 |            -1504 | moon.triton               |            true |             true | com.mjr.extraplanets.moons.Triton.WorldProviderTriton                           |
+------------+------------------+---------------------------+-----------------+------------------+---------------------------------------------------------------------------------+
|         ID | DimensionType ID | Name                      | shouldLoadSpawn | Currently loaded | WorldProvider class                                                             |
+------------+------------------+---------------------------+-----------------+------------------+---------------------------------------------------------------------------------+
