+-----------------------------+--------------------------------------------------------+------------------------------------+--------+
| Mod name                    | Registry name                                          | Entity class name                  |     ID |
+-----------------------------+--------------------------------------------------------+------------------------------------+--------+
| Actually Additions          | actuallyadditions:worm                                 | EntityWorm                         |      0 |
| Advanced Hook Launchers     | adhooks:hookshot                                       | HookShot                           |      3 |
| Advent Of Ascension         | aoa3:abyssal_lottoman                                  | EntityAbyssalLottoman              |    410 |
| Advent Of Ascension         | aoa3:agility_tablet                                    | EntityAgilityTablet                |    497 |
| Advent Of Ascension         | aoa3:airhead                                           | EntityAirhead                      |      0 |
| Advent Of Ascension         | aoa3:alarmo                                            | EntityAlarmo                       |      1 |
| Advent Of Ascension         | aoa3:alluricorn                                        | EntityAlluricorn                   |    383 |
| Advent Of Ascension         | aoa3:ambient_pixon                                     | EntityAmbientPixon                 |    411 |
| Advent Of Ascension         | aoa3:amphibior                                         | EntityAmphibior                    |      2 |
| Advent Of Ascension         | aoa3:amphibiyte                                        | EntityAmphibiyte                   |      3 |
| Advent Of Ascension         | aoa3:ancient_golem                                     | EntityAncientGolem                 |      4 |
| Advent Of Ascension         | aoa3:anemia                                            | EntityAnemia                       |      5 |
| Advent Of Ascension         | aoa3:anemia_bomb                                       | EntityAnemiaBomb                   |    525 |
| Advent Of Ascension         | aoa3:angelica                                          | EntityAngelica                     |      6 |
| Advent Of Ascension         | aoa3:angler                                            | EntityAngler                       |      7 |
| Advent Of Ascension         | aoa3:anima_master                                      | EntityAnimaMaster                  |    412 |
| Advent Of Ascension         | aoa3:anima_stone                                       | EntityAnimaStone                   |    498 |
| Advent Of Ascension         | aoa3:apparition                                        | EntityApparition                   |      8 |
| Advent Of Ascension         | aoa3:aquaball                                          | EntityAquaball                     |    527 |
| Advent Of Ascension         | aoa3:aquatic_shot                                      | EntityAquaticShot                  |    528 |
| Advent Of Ascension         | aoa3:arc_flower                                        | EntityArcFlower                    |      9 |
| Advent Of Ascension         | aoa3:arc_wizard                                        | EntityArcWizard                    |     10 |
