+--------------------------------+---------+-------------+-----------+------------+----------+-----------+-----------------------------------------------------+
| Name                           | Density | Temperature | Viscosity | Luminosity | Rarity   | isGaseous | Block                                               |
+--------------------------------+---------+-------------+-----------+------------+----------+-----------+-----------------------------------------------------+
| aerotheum                      |    -800 |         300 |       100 |          0 | RARE     |      true | thermalfoundation:fluid_aerotheum                   |
| alubrass                       |    2000 |         500 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_alubrass                          |
| aluminum                       |    2000 |         330 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_aluminum                          |
| anti_venom                     |    1000 |         300 |      2000 |          0 | COMMON   |     false | -                                                   |
| ardite                         |    2000 |         860 |     10000 |         10 | RARE     |     false | tconstruct:molten_ardite                            |
| argon                          |       1 |         295 |         4 |          0 | COMMON   |      true | -                                                   |
| atmosphericgases               |       1 |         295 |        13 |          0 | COMMON   |      true | -                                                   |
| bacterialsludge                |     800 |         300 |      1500 |          0 | COMMON   |     false | galacticraftplanets:sludge                          |
| baronyte                       |    2000 |         880 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_baronyte                          |
| base_essence                   |    2000 |        1000 |     10000 |         10 | UNCOMMON |     false | mysticalagradditions:molten_base_essence            |
| beetle_juice                   |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| betterquesting.placeholder     |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| bio.ethanol                    |     790 |         295 |      1000 |          0 | COMMON   |     false | forestry:fluid.bio.ethanol                          |
| biocrude                       |    1500 |         300 |      2500 |          0 | COMMON   |     false | -                                                   |
| biodiesel                      |     789 |         300 |      1000 |          0 | COMMON   |     false | immersiveengineering:fluidbiodiesel                 |
| biofuel                        |    3000 |         600 |      6000 |          0 | COMMON   |     false | industrialforegoing:biofuel                         |
| biomass                        |     400 |         295 |      6560 |          0 | COMMON   |     false | forestry:fluid.biomass                              |
| blazium                        |    2000 |        1080 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_blazium                           |
| blood                          |    1000 |         300 |      1000 |          0 | COMMON   |     false | biomesoplenty:blood                                 |
| blueslime                      |    1500 |         310 |      1500 |          0 | COMMON   |     false | tconstruct:blueslime                                |
| brass                          |    2000 |         470 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_brass                             |
| brine                          |    1000 |         300 |      1000 |          0 | COMMON   |     false | -                                                   |
| bronze                         |    2000 |         475 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_bronze                            |
| candied_water                  |    1200 |         300 |      1200 |          0 | COMMON   |     false | aoa3:candied_water                                  |
| canolaoil                      |    1000 |         300 |      1000 |          0 | UNCOMMON |     false | actuallyadditions:block_canola_oil                  |
| carbondioxide                  |       2 |         295 |        20 |          0 | COMMON   |      true | -                                                   |
| charger                        |    1000 |         450 |      1000 |          0 | COMMON   |     false | tconstruct:molten_charger                           |
| chargium                       |    1000 |         300 |      1000 |          0 | COMMON   |     false | zollerngalaxy:fluid_chargium                        |
| cheese_milk_fluid              |    1000 |         300 |      1000 |          0 | COMMON   |     false | moreplanets:cheese_milk_fluid                       |
| chocolatemelted                |    1000 |         300 |      1000 |          0 | COMMON   |     false | zollerngalaxy:fluid_chocolatemelted                 |
| clay                           |    2000 |         700 |     10000 |         10 | UNCOMMON |     false | tconstruct:molten_clay                              |
| clean_water_fluid              |     800 |         300 |      1500 |          0 | COMMON   |     false | extraplanets:clean_water                            |
